post,案件,縣市,鄉鎮市區,里,鄰,編號,投開票所,地址,同意票數,不同意票數,有效票數,無效票數,投票數,已領未投票數,發出票數,用於票數,投票權人數,投票率(%),有效同意票數對投票權人數百分比(%),有效不同意票數對投票權人數百分比(%),有效同意與不同意票數對投票權人數百分比差值,odds,log_odds,post
南投縣竹山鎮251,第7案,南投縣,竹山鎮,延和里,"19-22,24",251,延和國中,南投縣竹山鎮鹿山路40號,147,604,751,56,807,0,807,630,1437,56.16%,10.23%,42.03%,-31.8,0.24350273133587153,-1.412627119537304,南投縣竹山鎮251
南投縣集集鎮293,第7案,南投縣,集集鎮,廣明里,7-11,293,玉皇宮,南投縣集集鎮廣明里洞角巷３６號,31,159,190,21,211,0,211,208,419,50.36%,7.40%,37.95%,-30.55,0.19547454431175362,-1.6323251161585526,南投縣集集鎮293
嘉義縣布袋鎮346,第7案,嘉義縣,布袋鎮,菜舖里,全里,346,菜舖社區活動中心,嘉義縣布袋鎮菜舖?24號之1,168,40,208,35,243,0,243,185,428,56.78%,39.25%,9.35%,29.9,4.192019950124688,1.4331827061020466,嘉義縣布袋鎮346
嘉義縣阿里山鄉482,第7案,嘉義縣,阿里山鄉,達邦村,全村,482,達邦舊圖書館,嘉義縣阿里山鄉23之1號,23,70,93,361,454,0,454,373,827,54.9%,2.78%,8.46%,-5.68,0.3295292439372326,-1.1100901765127964,嘉義縣阿里山鄉482
彰化縣埔鹽鄉708,第7案,彰化縣,埔鹽鄉,新水村,6-11,708,四聖宮,彰化縣埔鹽鄉大新路臨5之18號,321,102,423,72,495,0,495,303,798,62.03%,40.23%,12.78%,27.45,3.1449559255631736,1.1457998759248484,彰化縣埔鹽鄉708
彰化縣花壇鄉199,第7案,彰化縣,花壇鄉,文德村,"1,4-6,8,13,15",199,文德村明聖宮(一),彰化縣花壇鄉文德村溪南街66巷16號,430,125,555,48,603,0,603,350,953,63.27%,45.12%,13.12%,32.0,3.438049560351719,1.2349043223168252,彰化縣花壇鄉199
新北市三峽區1950,第7案,新北市,三峽區,龍學里,"37,39-42",1950,北大高中1樓閱覽室,新北市三峽區大義路277號,124,686,810,28,838,0,838,625,1463,57.28%,8.48%,46.89%,-38.41,0.1808774231161638,-1.7099356974862836,新北市三峽區1950
新北市土城區1886,第7案,新北市,土城區,廷寮里,"1-9,13",1886,廷寮社區活動中心(右側),新北市土城區永豐路171號旁,79,170,249,40,289,0,289,1046,1335,21.65%,5.92%,12.73%,-6.81,0.46502057613168724,-0.7656736246282079,新北市土城區1886
新北市新莊區440,第7案,新北市,新莊區,立泰里,1-6,440,新泰國中(910教室),新北市新莊區新泰路359號,575,180,755,70,825,0,825,673,1498,55.07%,38.38%,12.02%,26.36,3.193225985563576,1.161031686537798,新北市新莊區440
新北市新莊區480,第7案,新北市,新莊區,龍鳳里,"1-4,6",480,丹鳳高中(701教室),新北市新莊區龍安路72號,215,685,900,53,953,4,957,689,1646,57.9%,13.06%,41.62%,-28.56,0.3139687636841337,-1.158461776735169,新北市新莊區480
